land,area,male,female,population,density
Baden-Württemberg,35751.65,5271,5465,10736,300.29383259234186
Bayern,70551.57,6103,6366,12469,176.7359677467135
Berlin,891.85,1660,1736,3396,3807.815215563155
Brandenburg,29478.61,1267,1293,2560,86.84262928272398
Bremen,404.28,321,342,663,1639.9525081626596
Hamburg,755.16,849,894,1743,2308.1201334816465
Hessen,21114.79,2983,3109,6092,288.51814296992774
Mecklenburg-Vorpommern,23180.14,846,861,1707,73.64062512133232
Niedersachsen,47624.2,3918,4076,7994,167.85583799832858
Nordrhein-Westfalen,34085.29,8797,9261,18058,529.7886566316438
Rheinland-Pfalz,19853.36,1990,2069,4059,204.44902021622536
Saarland,2568.7,510,540,1050,408.7670806244404
Sachsen,18415.51,2083,2191,4274,232.0869745122454
Sachsen-Anhalt,20446.31,1206,1264,2470,120.80419400860106
Schleswig-Holstein,15799.38,1385,1448,2833,179.31083371625974
Thüringen,16172.1,1150,1185,2335,144.3844646026181
